Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",3.688,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,2.658,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Facebook, Inc. Class A",1.877,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"Amazon.com, Inc.",1.776,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Berkshire Hathaway, Inc. Class B",1.635,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
Johnson & Johnson,1.617,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
Exxon Mobil Corp.,1.61,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
JPMorgan Chase & Co.,1.557,JPM,"New York City, New York",Financials,Diversified Banks
"Alphabet, Inc. Class A",1.343,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class C",1.342,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
Bank of America Corp.,1.152,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Wells Fargo & Co.,1.141,WFC,"San Francisco, California",Financials,Diversified Banks
"AT&T, Inc.",1.116,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
Procter & Gamble Co.,1.075,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Chevron Corp.,1.032,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Pfizer, Inc.",0.987,PFE,"New York City, New York",Health Care,Pharmaceuticals
General Electric Co.,0.97,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"Verizon Communications, Inc.",0.936,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Citigroup, Inc.",0.918,C,"New York City, New York",Financials,Diversified Banks
"Home Depot, Inc.",0.893,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"Visa, Inc. Class A",0.892,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
"UnitedHealth Group, Inc.",0.877,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Comcast Corp. Class A,0.839,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Intel Corp.,0.831,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Merck & Co., Inc.",0.811,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Coca-Cola Co.,0.802,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Philip Morris International, Inc.",0.799,PM,"New York City, New York",Consumer Staples,Tobacco
"Cisco Systems, Inc.",0.78,CSCO,"San Jose, California",Information Technology,Communications Equipment
"DowDuPont, Inc.",0.749,DWDP,"Wilmington, DE",Materials,Diversified Chemicals
"PepsiCo, Inc.",0.738,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Walt Disney Co.,0.706,DIS,"Burbank, California",Communication Services,Movies & Entertainment
Oracle Corp.,0.677,ORCL,"Austin, Texas",Information Technology,Application Software
"AbbVie, Inc.",0.656,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
Boeing Co.,0.654,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
"Amgen, Inc.",0.63,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
"Mastercard, Inc. Class A",0.611,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
McDonald’s Corp.,0.588,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
International Business Machines Corp.,0.583,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
3M Co.,0.581,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"Altria Group, Inc.",0.564,MO,"Richmond, Virginia",Consumer Staples,Tobacco
"Wal-MartStores, Inc.",0.53,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Celgene Corp.,0.528,CELG,"Summit, NJ",Health Care,Biotechnology
"Honeywell International, Inc.",0.501,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
NVIDIA Corp.,0.497,NVDA,"Santa Clara, California",Information Technology,Semiconductors
"Gilead Sciences, Inc.",0.49,GILD,"Foster City, California",Health Care,Biotechnology
Medtronic PLC,0.488,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
Bristol-Myers Squibb Co.,0.484,BMY,"New York City, New York",Health Care,Pharmaceuticals
"Broadcom, Ltd.",0.457,AVGO,"Palo Alto, California",Information Technology,Semiconductors
"Schlumberger, Ltd.",0.45,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
Union Pacific Corp.,0.43,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
Abbott Laboratories,0.429,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"Priceline Group, Inc.",0.417,BKNG,"Norwalk, Connecticut",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
"Texas Instruments, Inc.",0.411,TXN,"Dallas, Texas",Information Technology,Semiconductors
United Technologies Corp.,0.4,UTX,"Farmington, CT",Industrials,Aerospace & Defense
US Bancorp,0.395,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
"Goldman Sachs Group, Inc.",0.395,GS,"New York City, New York",Financials,Investment Banking & Brokerage
Accenture PLC Class A,0.387,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
Eli Lilly & Co.,0.385,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
CVS Health Corp.,0.384,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
"United Parcel Service, Inc. Class B",0.382,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
"Time Warner, Inc.",0.367,TWX,"New York, NY",Communication Services,Movies & Entertainment
"Netflix, Inc.",0.361,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
Starbucks Corp.,0.36,SBUX,"Seattle, Washington",Consumer Discretionary,Restaurants
Lockheed Martin Corp.,0.359,LMT,"Bethesda, Maryland",Industrials,Aerospace & Defense
"QUALCOMM, Inc.",0.355,QCOM,"San Diego, California",Information Technology,Semiconductors
"Thermo Fisher Scientific, Inc.",0.351,TMO,"Waltham, Massachusetts",Health Care,Life Sciences Tools & Services
"Adobe Systems, Inc.",0.342,ADBE,"San Jose, California",Information Technology,Application Software
"Caterpillar, Inc.",0.341,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
"Charter Communications, Inc. Class A",0.338,CHTR,"Stamford, Connecticut",Communication Services,Cable & Satellite
"PayPal Holdings, Inc.",0.335,PYPL,"San Jose, California",Financials,Transaction & Payment Processing Services
Costco Wholesale Corp.,0.334,COST,"Issaquah, Washington",Consumer Staples,Consumer Staples Merchandise Retail
"Walgreens Boots Alliance, Inc.",0.33,WBA,"Deerfield, IL",Consumer Staples,Drug Retail
Allergan PLC,0.319,AGN,"Dublin, Ireland",Health Care,Pharmaceuticals
"NextEra Energy, Inc.",0.318,NEE,"Juno Beach, Florida",Utilities,Multi-Utilities
"NIKE, Inc. Class B",0.316,NKE,"Washington County, Oregon",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Morgan Stanley,0.316,MS,"New York City, New York",Financials,Investment Banking & Brokerage
"Lowe’s Cos., Inc.",0.313,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
"Chubb, Ltd.",0.307,CB,"Zurich, Switzerland",Financials,Property & Casualty Insurance
American Express Co.,0.307,AXP,"New York City, New York",Financials,Consumer Finance
"Biogen, Inc.",0.307,BIIB,"Cambridge, Massachusetts",Health Care,Biotechnology
"PNC Financial Services Group, Inc.",0.299,PNC,"Pittsburgh, Pennsylvania",Financials,Diversified Banks
Colgate-Palmolive Co.,0.298,CL,"New York City, New York",Consumer Staples,Household Products
"salesforce.com, Inc.",0.296,CRM,"San Francisco, California",Information Technology,Application Software
"Mondelez International, Inc. Class A",0.284,MDLZ,"Chicago, Illinois",Consumer Staples,Packaged Foods & Meats
ConocoPhillips,0.282,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Duke Energy Corp.,0.272,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
American Tower Corp. REIT,0.27,AMT,"Boston, Massachusetts",Real Estate,Telecom Tower REITs
General Dynamics Corp.,0.265,GD,"Reston, Virginia",Industrials,Aerospace & Defense
"EOG Resources, Inc.",0.259,EOG,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Applied Materials, Inc.",0.257,AMAT,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment
"American International Group, Inc.",0.257,AIG,"New York City, New York",Financials,Multi-line Insurance
"BlackRock, Inc.",0.257,BLK,"New York City, New York",Financials,Asset Management & Custody Banks
FedEx Corp.,0.256,FDX,"Memphis, Tennessee",Industrials,Air Freight & Logistics
"MetLife, Inc.",0.256,MET,"New York City, New York",Financials,Life & Health Insurance
Bank of New York Mellon Corp.,0.255,BK,"New York City, New York",Financials,Asset Management & Custody Banks
Raytheon Co.,0.253,RTN,"Waltham, MA",Industrials,Aerospace & Defense
General Motors Co.,0.245,GM,"Detroit, Michigan",Consumer Discretionary,Automobile Manufacturers
"Aetna, Inc.",0.244,AET,"Hartford, CT",Health Care,Managed Health Care
Monsanto Co.,0.244,MON,"St. Louis, MO",Materials,Fertilizers & Agricultural Chemicals
Danaher Corp.,0.242,DHR,"Washington, D.C.",Health Care,Life Sciences Tools & Services
Charles Schwab Corp.,0.241,SCHW,"Westlake, Texas",Financials,Investment Banking & Brokerage
"Simon Property Group, Inc. REIT",0.233,SPG,"Indianapolis, Indiana",Real Estate,Retail REITs
Northrop Grumman Corp.,0.233,NOC,"West Falls Church, Virginia[3]",Industrials,Aerospace & Defense
"Anthem, Inc.",0.232,ANTM,"Indianapolis, IN",Health Care,Managed Health Care
CSX Corp.,0.23,CSX,"Jacksonville, Florida",Industrials,Rail Transportation
"Dominion Energy, Inc.",0.229,D,"Richmond, Virginia",Utilities,Multi-Utilities
Southern Co.,0.228,SO,"Atlanta, Georgia",Utilities,Electric Utilities
"Automatic Data Processing, Inc.",0.227,ADP,"Roseland, New Jersey",Industrials,Human Resource & Employment Services
Occidental Petroleum Corp.,0.227,OXY,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Activision Blizzard, Inc.",0.226,ATVI,"Santa Monica, CA",Communication Services,Interactive Home Entertainment
Cigna Corp.,0.218,CI,"Bloomfield, Connecticut",Health Care,Health Care Services
"TJX Cos., Inc.",0.217,TJX,"Framingham, Massachusetts",Consumer Discretionary,Apparel Retail
Ford Motor Co.,0.217,F,"Dearborn, Michigan",Consumer Discretionary,Automobile Manufacturers
Kraft Heinz Co.,0.214,KHC,"Chicago, Illinois; Pittsburgh, Pennsylvania",Consumer Staples,Packaged Foods & Meats
"Illinois Tool Works, Inc.",0.214,ITW,"Glenview, Illinois",Industrials,Industrial Machinery & Supplies & Components
"CME Group, Inc.",0.213,CME,"Chicago, Illinois",Financials,Financial Exchanges & Data
Stryker Corp.,0.212,SYK,"Kalamazoo, Michigan",Health Care,Health Care Equipment
"Prudential Financial, Inc.",0.211,PRU,"Newark, New Jersey",Financials,Life & Health Insurance
Becton Dickinson and Co.,0.206,BDX,"Franklin Lakes, New Jersey",Health Care,Health Care Equipment
"Micron Technology, Inc.",0.203,MU,"Boise, Idaho",Information Technology,Semiconductors
"Marsh & McLennan Cos., Inc.",0.2,MMC,"New York, NY",Financial Services,Insurance Brokers
Cognizant Technology Solutions Corp. Class A,0.198,CTSH,"Teaneck, New Jersey",Information Technology,IT Consulting & Other Services
Kimberly-Clark Corp.,0.194,KMB,"Irving, Texas",Consumer Staples,Household Products
Capital One Financial Corp.,0.189,COF,"Tysons Corner, Virginia",Financials,Consumer Finance
Crown Castle International Corp. REIT,0.188,CCI,"Houston, Texas",Real Estate,Telecom Tower REITs
Emerson Electric Co.,0.188,EMR,"Ferguson, Missouri",Industrials,Electrical Components & Equipment
"Intercontinental Exchange, Inc.",0.187,ICE,"Atlanta, Georgia",Financials,Financial Exchanges & Data
"S&P Global, Inc.",0.187,SPGI,"New York City, New York",Financials,Financial Exchanges & Data
Deere & Co.,0.186,DE,"Moline, Illinois",Industrials,Agricultural & Farm Machinery
Boston Scientific Corp.,0.185,BSX,"Marlborough, Massachusetts",Health Care,Health Care Equipment
Halliburton Co.,0.185,HAL,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Praxair, Inc.",0.184,PX,"Dallas, TX",Financial Services,Asset Management
Phillips 66,0.182,PSX,"Houston, Texas",Energy,Oil & Gas Refining & Marketing
"Intuitive Surgical, Inc.",0.181,ISRG,"Sunnyvale, California",Health Care,Health Care Equipment
Norfolk Southern Corp.,0.178,NSC,"Atlanta, Georgia",Industrials,Rail Transportation
"Vertex Pharmaceuticals, Inc.",0.178,VRTX,"Boston, Massachusetts",Health Care,Biotechnology
"eBay, Inc.",0.177,EBAY,"San Jose, California",Consumer Discretionary,Broadline Retail
BB&T Corp.,0.176,BBT,"Boston, MA",Financial Services,Banks - Regional
Johnson Controls International PLC,0.174,JCI,"Cork, Ireland",Industrials,Building Products
Aon PLC,0.172,AON,"London, United Kingdom",Financials,Insurance Brokers
"Kinder Morgan, Inc.",0.17,KMI,"Houston, Texas",Energy,Oil & Gas Storage & Transportation
Express Scripts Holding Co.,0.169,ESRX,"St. Louis, MO",Health Care,Health Care Services
"Electronic Arts, Inc.",0.169,EA,"Redwood City, California",Communication Services,Interactive Home Entertainment
Exelon Corp.,0.168,EXC,"Chicago, Illinois",Utilities,Electric Utilities
State Street Corp.(c),0.166,STT,"Boston, Massachusetts",Financials,Asset Management & Custody Banks
"Humana, Inc.",0.163,HUM,"Louisville, Kentucky",Health Care,Managed Health Care
PG&E Corp.,0.161,PCG,"Oakland, California",Utilities,Multi-Utilities
"Marriott International, Inc. Class A",0.161,MAR,"Bethesda, Maryland",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
"Equinix, Inc. REIT",0.161,EQIX,"Redwood City, California",Real Estate,Data Center REITs
"Intuit, Inc.",0.16,INTU,"Mountain View, California",Information Technology,Application Software
"American Electric Power Co., Inc.",0.16,AEP,"Columbus, Ohio",Utilities,Electric Utilities
Eaton Corp. PLC,0.16,ETN,"Dublin, Ireland",Industrials,Electrical Components & Equipment
"Constellation Brands, Inc. Class A",0.159,STZ,"Rochester, New York",Consumer Staples,Distillers & Vintners
"Travelers Cos., Inc.",0.159,TRV,"New York City, New York",Financials,Property & Casualty Insurance
"Regeneron Pharmaceuticals, Inc.",0.158,REGN,"Tarrytown, New York",Health Care,Biotechnology
Valero Energy Corp.,0.157,VLO,"San Antonio, Texas",Energy,Oil & Gas Refining & Marketing
"Ecolab, Inc.",0.156,ECL,"Saint Paul, Minnesota",Materials,Specialty Chemicals
Allstate Corp.,0.155,ALL,"Northbrook, Illinois",Financials,Property & Casualty Insurance
"Prologis, Inc. REIT",0.155,PLD,"San Francisco, California",Real Estate,Industrial REITs
"HP, Inc.",0.154,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Air Products & Chemicals, Inc.",0.152,APD,"Upper Macungie Township, Pennsylvania",Materials,Industrial Gases
McKesson Corp.,0.15,MCK,"Irving, Texas",Health Care,Health Care Distributors
Target Corp.,0.149,TGT,"Minneapolis, Minnesota",Consumer Staples,Consumer Staples Merchandise Retail
"Aflac, Inc.",0.149,AFL,"Columbus, Georgia",Financials,Life & Health Insurance
LyondellBasell Industries NV Class A,0.149,LYB,"Rotterdam, Netherlands",Materials,Specialty Chemicals
"Delta Air Lines, Inc.",0.149,DAL,"Atlanta, Georgia",Industrials,Passenger Airlines
Public Storage REIT,0.147,PSA,"Glendale, California",Real Estate,Self-Storage REITs
"Waste Management, Inc.",0.147,WM,"Houston, Texas",Industrials,Environmental & Facilities Services
"Analog Devices, Inc.",0.147,ADI,"Wilmington, Massachusetts",Information Technology,Semiconductors
"Alexion Pharmaceuticals, Inc.",0.146,ALXN,"Boston, MA",Health Care,Biotechnology
"Baxter International, Inc.",0.146,BAX,"Deerfield, Illinois",Health Care,Health Care Equipment
"Zoetis, Inc.",0.145,ZTS,"Parsippany, New Jersey",Health Care,Pharmaceuticals
Southwest Airlines Co.,0.143,LUV,"Dallas, Texas",Industrials,Passenger Airlines
"Fidelity National Information Services, Inc.",0.142,FIS,"Jacksonville, Florida",Financials,Transaction & Payment Processing Services
Lam Research Corp.,0.139,LRCX,"Fremont, California",Information Technology,Semiconductor Materials & Equipment
"General Mills, Inc.",0.139,GIS,"Golden Valley, Minnesota",Consumer Staples,Packaged Foods & Meats
"TE Connectivity, Ltd.",0.136,TEL,"Galway, Ireland",Information Technology,Electronic Manufacturing Services
Sherwin-Williams Co.,0.135,SHW,"Cleveland, Ohio",Materials,Specialty Chemicals
"Illumina, Inc.",0.134,ILMN,"San Diego, CA",Healthcare,Diagnostics & Research
"SunTrust Banks, Inc.",0.133,STI,"Dallas, TX",Industrials,Electrical Equipment & Parts
Sempra Energy,0.132,SRE,"San Diego, California",Utilities,Multi-Utilities
Marathon Petroleum Corp.,0.131,MPC,"Findlay, Ohio",Energy,Oil & Gas Refining & Marketing
Progressive Corp.,0.13,PGR,"Mayfield Village, Ohio",Financials,Property & Casualty Insurance
"PPoG Industries, Inc.",0.129,PPG,"Pittsburgh, Pennsylvania",Materials,Specialty Chemicals
"Twenty-First Century Fox, Inc. Class A",0.129,FOXA,"New York City, New York",Communication Services,Broadcasting
Anadarko Petroleum Corp.,0.126,APC,"The Woodlands, TX",Energy,Oil & Gas Exploration & Production
"Fiserv, Inc.",0.126,FI,"Milwaukee, WI",Financials,Transaction & Payment Processing Services
"Corning, Inc.",0.125,GLW,"Corning, New York",Information Technology,Electronic Components
Delphi Automotive PLC,0.123,DLPH,"Dublin, Ireland",Consumer Discretionary,Auto Parts & Equipment
"Cummins, Inc.",0.123,CMI,"Columbus, Indiana",Industrials,Construction Machinery & Heavy Transportation Equipment
Carnival Corp.,0.122,CCL,"Miami, Florida",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Sysco Corp.,0.121,SYY,"Houston, Texas",Consumer Staples,Food Distributors
Amphenol Corp. Class A,0.121,APH,"Wallingford, Connecticut",Information Technology,Electronic Components
PPL Corp.,0.119,PPL,"Allentown, Pennsylvania",Utilities,Electric Utilities
"Welltower, Inc. REIT",0.119,WELL,"Toledo, Ohio",Real Estate,Health Care REITs
Weyerhaeuser Co. REIT,0.118,WY,"Seattle, Washington",Real Estate,Timber REITs
"Ross Stores, Inc.",0.118,ROST,"Dublin, California",Consumer Discretionary,Apparel Retail
"Yum! Brands, Inc.",0.118,YUM,"Louisville, Kentucky",Consumer Discretionary,Restaurants
"PACCAR, Inc.",0.118,PCAR,"Bellevue, Washington",Industrials,Construction Machinery & Heavy Transportation Equipment
Western Digital Corp.,0.117,WDC,"San Jose, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Edison International,0.116,EIX,"Rosemead, California",Utilities,Electric Utilities
Pioneer Natural Resources Co.,0.116,PXD,"Irving, TX",Energy,Oil & Gas Exploration & Production
M&T Bank Corp.,0.115,MTB,"Buffalo, New York",Financials,Regional Banks
"Roper Technologies, Inc.",0.115,ROP,"Sarasota, Florida",Information Technology,Electronic Equipment & Instruments
"Williams Cos., Inc.",0.115,WMB,"Tulsa, Oklahoma",Energy,Oil & Gas Storage & Transportation
"Autodesk, Inc.",0.114,ADSK,"San Francisco, California",Information Technology,Application Software
"Consolidated Edison, Inc.",0.114,ED,"New York City, New York",Utilities,Multi-Utilities
"AvalonBay Communities, Inc. REIT",0.113,AVB,"Arlington, Virginia",Real Estate,Multi-Family Residential REITs
Hewlett Packard Enterprise Co.,0.113,HPE,"Houston, Texas",Information Technology,"Technology Hardware, Storage & Peripherals"
DXC Technology Co.,0.113,DXC,"Ashburn, VA",Technology,Information Technology Services
"Digital Realty Trust, Inc. REIT",0.113,DLR,"Austin, Texas",Real Estate,Data Center REITs
Archer-Daniels-Midland Co.,0.112,ADM,"Chicago, Illinois",Consumer Staples,Agricultural Products & Services
Equity Residential REIT,0.112,EQR,"Chicago, Illinois",Real Estate,Multi-Family Residential REITs
"Estee Lauder Cos., Inc. Class A",0.112,EL,"New York City, New York",Consumer Staples,Personal Care Products
"Xcel Energy, Inc.",0.111,XEL,"Minneapolis, Minnesota",Utilities,Multi-Utilities
Discover Financial Services,0.111,DFS,"Riverwoods, IL",Financials,Consumer Finance
"Zimmer Biomet Holdings, Inc.",0.109,ZBH,"Warsaw, Indiana",Health Care,Health Care Equipment
International Paper Co.,0.109,IP,"Memphis, Tennessee",Materials,Paper & Plastic Packaging Products & Materials
"Public Service Enterprise Group, Inc.",0.108,PEG,"Newark, New Jersey",Utilities,Electric Utilities
"C.R. Bard, Inc.",0.108,BCR,"Murray Hill, NJ",Health Care,Health Care Equipment
Moody’s Corp.,0.108,MCO,"New York City, New York",Financials,Financial Exchanges & Data
Parker-Hannifin Corp.,0.108,PH,"Cleveland, Ohio",Industrials,Industrial Machinery & Supplies & Components
Synchrony Financial,0.107,SYF,"Stamford, Connecticut",Financials,Consumer Finance
Edwards Lifesciences Corp.,0.107,EW,"Irvine, California",Health Care,Health Care Equipment
"Rockwell Automation, Inc.",0.107,ROK,"Milwaukee, Wisconsin",Industrials,Electrical Components & Equipment
"Stanley Black & Decker, Inc.",0.107,SWK,"New Britain, Connecticut",Industrials,Industrial Machinery & Supplies & Components
"Ventas, Inc. REIT",0.106,VTR,"Chicago, Illinois",Real Estate,Health Care REITs
