year,portfolio_value,realized_gains,realized_losses,net_realized,tax_liability,cumulative_tax,unrealized_gains,loss_carryforward,total_trades
2000,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,873104.0,23433.16,59839.72,-36406.57,0.0,0.0,-90489.43,36406.57,533680.68
2002,752731.69,3501.53,124692.33,-121190.8,0.0,0.0,-89670.94,157597.37,379026.16
2003,581073.08,2920.82,70567.45,-67646.63,0.0,0.0,-193682.92,225244.0,297202.13
2004,732002.21,25425.61,38077.62,-12652.01,0.0,0.0,-30101.78,237896.01,405547.98
2005,800729.73,42800.58,28187.39,14613.19,0.0,0.0,24012.55,223282.82,432641.99
2006,811801.56,35229.96,31557.97,3671.98,0.0,0.0,31412.4,219610.83,463147.25
2007,942493.06,42560.89,8189.07,34371.82,0.0,0.0,127732.08,185239.01,511419.32
2008,999097.95,54219.0,18840.72,35378.28,0.0,0.0,148958.69,149860.74,411915.07
2009,662056.96,27326.53,96403.93,-69077.4,0.0,0.0,-119004.91,218938.13,407430.34
2010,799283.97,44115.04,27109.25,17005.8,0.0,0.0,1216.31,201932.34,523048.57
2011,886071.75,27756.62,27148.53,608.09,0.0,0.0,87396.0,201324.25,431343.8
2012,916792.83,39070.75,6193.6,32877.15,0.0,0.0,85239.93,168447.1,422787.76
2013,1081014.52,78868.35,4166.21,74702.14,0.0,0.0,174759.49,93744.96,552827.91
2014,1395887.29,103740.68,9357.65,94383.03,95.71,95.71,395249.22,0.0,654646.97
2015,1579068.12,161957.39,13646.03,148311.36,22246.7,22342.41,430118.69,0.0,790376.44
2016,1664880.21,122843.04,1455.36,121387.69,18208.15,40550.57,394543.09,0.0,882876.28
2017,1845142.66,156857.39,8537.51,148319.89,22247.98,62798.55,426485.66,0.0,920213.13
2018,2270386.88,167932.02,6462.44,161469.57,24220.44,87018.99,690260.31,0.0,998277.37
2019,2212895.46,213868.07,54921.39,158946.68,23842.0,110860.99,473822.21,0.0,1402935.39
2020,2933282.97,250623.79,12335.88,238287.91,35743.19,146604.17,955921.8,0.0,1204130.54
2021,3464897.53,250495.27,19157.29,231337.97,34700.7,181304.87,1256198.39,0.0,1392718.29
2022,4403806.1,414050.12,904.15,413145.96,61971.89,243276.77,1781961.0,0.0,1912404.49
2023,3594273.01,298709.66,61593.38,237116.28,35567.44,278844.21,735311.63,0.0,1822657.18
2024,4636488.72,284075.35,44915.54,239159.81,35873.97,314718.18,1538367.53,0.0,2067346.16
2025,5875583.02,440402.02,48323.9,392078.12,58811.72,373529.9,2385383.71,0.0,2361892.77
2026,7021489.32,0.0,0.0,0.0,0.0,373529.9,3531290.01,0.0,0.0
