year,stocks_added,stocks_dropped,stocks_held,weight_turnover_pct
2001,10,10,50,30.56
2002,9,9,51,25.18
2003,9,9,51,25.57
2004,7,7,53,27.7
2005,4,4,56,27.02
2006,8,8,52,28.53
2007,8,8,52,27.13
2008,8,8,52,20.61
2009,6,6,54,30.77
2010,8,8,52,32.72
2011,9,9,51,24.34
2012,6,6,54,23.06
2013,6,6,54,25.57
2014,6,6,54,23.45
2015,3,3,57,25.03
2016,6,6,54,26.51
2017,5,5,55,24.94
2018,8,8,52,21.98
2019,9,9,51,31.7
2020,3,3,57,20.53
2021,5,5,55,20.1
2022,5,5,55,21.71
2023,8,8,52,25.36
2024,7,7,53,22.29
2025,6,6,54,20.1
